Time (ps),Backbone RMSD ($\AA$)
0.0,1.205371865132697e-06
20.0,0.5176428120993003
40.0,0.527142855597131
60.0,0.5467305062687372
80.0,0.5641370765536503
100.0,0.5686110134656862
120.0,0.6134141496418057
140.0,0.6195768417000848
160.0,0.62880888085118
180.0,0.6123571533215079
200.0,0.62160098303317
220.0,0.6408864838316732
240.0,0.6623625677299476
260.0,0.6590766741205087
280.0,0.6816618646182262
300.0,0.7019932186939939
320.0,0.6821083059849754
340.0,0.7090075230021932
360.0,0.7027453185699248
380.0,0.6858735327959171
400.0,0.6810529648431257
420.0,0.7152233702974214
440.0,0.7265957357265813
460.0,0.7402907394135302
480.0,0.7095694710823459
500.0,0.721383542669838
520.0,0.7372082973479623
540.0,0.7575169665273848
560.0,0.7552450022586084
580.0,0.7542535972064929
600.0,0.7499957069829332
620.0,0.7628925623293414
640.0,0.7334364992227107
660.0,0.739507449649375
680.0,0.7228247344974925
700.0,0.7487976842554606
720.0,0.7400740938606231
740.0,0.7589222886428193
760.0,0.773696782367457
780.0,0.7402278457690052
800.0,0.7544183612598935
820.0,0.7730366870861477
840.0,0.7782365482983561
860.0,0.7617226987449078
880.0,0.7855699390484266
900.0,0.7772360288967072
920.0,0.7824907934524418
940.0,0.7564119448518366
960.0,0.7651519002656425
980.0,0.78596081463639
1000.0,0.7824013480926187
1020.0,0.7870021843275458
1040.0,0.8029349508824084
1060.0,0.761857136100055
1080.0,0.805556064895149
1100.0,0.7865406322236642
1120.0,0.7780205655064144
1140.0,0.8185997393963818
1160.0,0.8069271931776133
1180.0,0.8131415127929545
1200.0,0.8202671817981667
1220.0,0.809953469705941
1240.0,0.8212963835383529
1260.0,0.8295055269890436
1280.0,0.8211220274970821
1300.0,0.776175532380152
1320.0,0.8126728681606233
1340.0,0.7988758240921351
1360.0,0.8095897529318563
1380.0,0.8089171030547799
1400.0,0.7971412983999014
1420.0,0.8183914287499501
1440.0,0.8184430287717666
1460.0,0.8096229354425405
1480.0,0.8244543370858777
1500.0,0.8280353452177157
1520.0,0.8113741722299544
1540.0,0.8269486602801601
1560.0,0.8257494912360926
1580.0,0.847812377066227
1600.0,0.8682873855773819
1620.0,0.828721222559485
1640.0,0.8272719979830255
1660.0,0.828644524629382
1680.0,0.8324930402413243
1700.0,0.8496050763902575
1720.0,0.8268619619560726
1740.0,0.8555842477867378
