Time (ps),EPTOT
78.4,-895888.9774
78.6,-896085.391
78.8,-896283.9321
79.0,-896388.0188
79.2,-896063.0048
79.4,-896330.4846
79.6,-896418.0388
79.8,-895923.0908
80.0,-896493.1558
80.2,-896253.908
80.4,-896645.7984
80.6,-896468.0426
80.8,-897119.1808
81.0,-897285.8389
81.2,-896746.5023
81.4,-897033.3819
81.6,-896917.0551
81.8,-896811.1767
82.0,-897216.2964
82.2,-897030.6278
82.4,-897152.1052
82.6,-897137.0454
82.8,-897457.4296
83.0,-897139.1092
83.2,-897071.9449
83.4,-897591.7537
83.6,-897613.261
83.8,-897511.6587
84.0,-897252.9277
84.2,-897114.8062
84.4,-897283.3749
84.6,-897228.9755
84.8,-897914.8862
85.0,-897771.8429
85.2,-897962.9396
85.4,-897723.5358
85.6,-898271.5369
85.8,-898083.1592
86.0,-898080.3655
86.2,-898212.5663
86.4,-897942.3739
86.6,-897956.782
86.8,-898035.0524
87.0,-897961.6931
87.2,-897879.285
87.4,-897851.8856
87.6,-898670.6717
87.8,-898580.6312
88.0,-898811.2516
88.2,-898590.4723
88.4,-898602.8629
88.6,-898881.8779
88.8,-898510.6942
89.0,-898893.0739
89.2,-898951.0185
89.4,-898660.6189
89.6,-899086.5723
89.8,-899103.8035
90.0,-898778.1781
90.2,-898716.1068
90.4,-898370.634
90.6,-898572.827
90.8,-898831.8402
91.0,-898375.3963
91.2,-898922.0594
91.4,-898917.1071
91.6,-899036.9976
91.8,-899310.644
92.0,-899136.6462
92.2,-899255.1411
92.4,-899249.422
92.6,-899230.5548
92.8,-899488.5303
93.0,-899512.7848
93.2,-899087.3592
93.4,-899820.2909
93.6,-899824.1978
93.8,-899502.6103
94.0,-899589.8338
94.2,-899367.7707
94.4,-899597.7091
94.6,-899741.8262
94.8,-899685.1948
95.0,-899550.0522
95.2,-899480.3551
95.4,-899278.0241
95.6,-899296.5793
95.8,-899440.8675
96.0,-899615.0643
96.2,-899383.3209
96.4,-899938.6011
96.6,-899315.2771
96.8,-899783.2038
97.0,-899820.2763
97.2,-900053.9481
97.4,-900267.5739
97.6,-900468.7775
97.8,-900017.6662
98.0,-899900.6335
98.2,-900099.9518
98.4,-899949.2755
98.6,-899995.6344
98.8,-900405.5778
99.0,-900162.2902
99.2,-899928.9375
99.4,-900040.8294
99.6,-900435.1779
99.8,-900325.2977
100.0,-900124.9294
100.2,-900612.6461
100.4,-899909.7829
100.6,-900193.5434
100.8,-900203.353
101.0,-900783.3898
101.2,-900643.8695
101.4,-900242.8215
101.6,-900783.6685
101.8,-900536.4085
102.0,-900646.8484
102.2,-900383.9519
102.4,-900726.9056
102.6,-900616.4153
102.8,-900263.4214
103.0,-900938.597
103.2,-900916.3868
103.4,-900646.5855
103.6,-901152.1109
103.8,-900974.5903
104.0,-901053.8273
104.2,-900900.4469
104.4,-901130.8351
104.6,-901180.5388
104.8,-900818.0585
105.0,-901232.0261
105.2,-901063.0054
105.4,-900966.5612
105.6,-900858.423
105.8,-901634.9834
106.0,-901008.8453
106.2,-901223.8973
106.4,-901291.2588
106.6,-901648.6548
106.8,-901437.7102
107.0,-901410.8756
107.2,-901162.1561
107.4,-901557.1924
107.6,-901070.5421
107.8,-901561.3495
108.0,-901362.6006
108.2,-901525.9277
108.4,-901390.2915
108.6,-901475.5829
108.8,-901421.6659
109.0,-901555.4821
109.2,-901377.5947
109.4,-901246.899
109.6,-901143.0715
109.8,-901644.4229
110.0,-901887.2425
110.2,-901659.6154
110.4,-902241.7831
110.6,-902017.5236
110.8,-901781.6138
111.0,-901923.1897
111.2,-901526.7618
111.4,-901992.861
111.6,-902295.6345
111.8,-901792.0882
112.0,-901962.3448
112.2,-901920.6945
112.4,-901737.2549
112.6,-902516.6858
112.8,-902017.308
113.0,-902145.2342
113.2,-902122.9871
113.4,-902355.6262
113.6,-902406.4986
113.8,-902275.6712
114.0,-902278.4247
114.2,-901945.6847
114.4,-901780.9192
114.6,-901716.634
114.8,-901887.1321
115.0,-902098.7195
115.2,-901651.165
115.4,-901492.4633
115.6,-902203.8199
115.8,-901959.6874
116.0,-902334.8275
116.2,-902479.3531
116.4,-902604.6633
116.6,-902249.4124
116.8,-902023.6831
117.0,-902491.0504
117.2,-902629.4836
117.4,-902051.6027
117.6,-902408.1349
117.8,-902202.9343
118.0,-902196.1384
118.2,-902589.8243
118.4,-902056.6749
118.6,-902326.7292
118.8,-902307.1944
119.0,-902100.6717
119.2,-901759.5518
119.4,-902250.5573
119.6,-902394.7478
119.8,-902288.4717
120.0,-902513.557
120.2,-902412.1199
120.4,-902242.3249
120.6,-902816.5778
120.8,-902937.4341
121.0,-902464.9185
121.2,-902529.2778
121.4,-902735.0887
121.6,-902828.2588
121.8,-902717.7577
122.0,-902623.5706
122.2,-902621.6174
122.4,-902521.0136
122.6,-902143.5402
122.8,-902232.0717
123.0,-902306.7046
123.2,-902627.0404
123.4,-903002.3852
123.6,-902650.7343
123.8,-902527.0293
124.0,-902131.3843
124.2,-902942.0692
124.4,-903002.1846
124.6,-902915.353
124.8,-902868.3566
125.0,-902772.8717
125.2,-902863.2194
125.4,-903036.6131
125.6,-903005.3534
125.8,-902659.6765
126.0,-902566.1152
126.2,-902744.2371
126.4,-903001.3245
126.6,-902911.8583
126.8,-902865.2351
127.0,-902938.6581
127.2,-902898.2768
127.4,-903435.0313
127.6,-903860.9857
127.8,-903680.8184
128.0,-903362.8004
128.2,-903258.0873
128.4,-903270.4826
128.6,-903432.4478
128.8,-903154.0464
129.0,-903518.2023
129.2,-903304.3249
129.4,-902856.7995
129.6,-903316.5512
129.8,-903276.0407
130.0,-903289.2581
130.2,-903758.99
130.4,-903697.885
130.6,-903573.1535
130.8,-903499.9413
131.0,-903595.8024
131.2,-903422.4005
131.4,-903274.4368
131.6,-903632.3219
131.8,-903486.6194
132.0,-903568.7626
132.2,-903980.9552
132.4,-903780.5143
132.6,-904077.8293
132.8,-903416.319
133.0,-903598.5621
133.2,-903393.132
133.4,-903411.7899
133.6,-903303.4491
133.8,-903158.2683
134.0,-903273.095
134.2,-903384.2602
134.4,-903387.4062
134.6,-903285.4584
134.8,-903692.4805
135.0,-903717.2317
135.2,-903673.9188
135.4,-903338.5159
135.6,-903505.7403
135.8,-903392.5632
136.0,-903848.3119
136.2,-904241.1379
136.4,-903923.5527
136.6,-903686.0725
136.8,-904177.1989
137.0,-904330.0761
137.2,-903930.2068
137.4,-903897.9794
137.6,-904132.6836
137.8,-904072.4635
138.0,-903468.399
138.2,-903828.273
138.4,-903975.6347
138.6,-903464.878
138.8,-903782.622
139.0,-903529.9994
139.2,-903492.398
139.4,-903657.4779
139.6,-904154.3318
139.8,-904131.9723
140.0,-904312.9103
140.2,-904534.0302
140.4,-904384.7118
140.6,-904141.047
140.8,-904163.2816
141.0,-904671.1076
141.2,-904562.0001
141.4,-904481.4603
141.6,-904274.205
141.8,-904242.8849
142.0,-904486.8755
142.2,-904031.0033
142.4,-904400.9907
142.6,-904126.7516
142.8,-904205.4686
143.0,-904465.4627
143.2,-903978.5691
143.4,-904367.1315
143.6,-904519.2233
143.8,-904305.1196
144.0,-903933.5576
144.2,-904056.8415
144.4,-904030.0015
144.6,-904227.5845
144.8,-904172.1833
145.0,-903980.6781
145.2,-904642.6658
145.4,-904672.6406
145.6,-904683.4342
145.8,-904619.7032
146.0,-904759.2384
146.2,-904938.415
146.4,-904612.4058
146.6,-905053.8088
146.8,-904773.4306
147.0,-905164.7864
147.2,-904732.9319
147.4,-904562.3901
147.6,-904679.374
147.8,-904553.2717
148.0,-904736.1846
148.2,-904773.879
148.4,-904685.9968
148.6,-904881.0005
148.8,-905048.2434
149.0,-904863.6641
149.2,-904856.2383
149.4,-904448.1869
149.6,-904492.5146
149.8,-904769.9169
150.0,-904882.4791
150.2,-905098.9972
150.4,-905061.2412
150.6,-905529.8368
150.8,-904753.1349
151.0,-904500.3476
151.2,-904914.6093
151.4,-905196.8028
151.6,-904830.3505
151.8,-905056.9362
152.0,-905143.4344
152.2,-904857.1067
152.4,-905109.1909
152.6,-905264.3231
152.8,-905343.9745
153.0,-905418.7515
153.2,-905176.1834
153.4,-904984.4287
153.6,-905091.3917
153.8,-904677.1218
154.0,-904698.8004
154.2,-905533.0538
154.4,-905632.6958
154.6,-905052.8087
154.8,-904888.6521
155.0,-904612.8582
155.2,-905035.6658
155.4,-905210.3828
155.6,-905265.0654
155.8,-905171.316
