Time (ps),EKTOT
102.0,93972.7422
104.0,94200.1484
106.0,93956.125
108.0,93899.3438
110.0,94168.6875
112.0,93814.0781
114.0,93822.0938
116.0,93852.125
118.0,94228.0547
120.0,94257.6484
122.0,94035.6953
124.0,93940.4062
126.0,93984.7656
128.0,93689.0781
130.0,93740.9062
132.0,93897.2188
134.0,93990.5625
136.0,93652.5312
138.0,94344.125
140.0,94310.4531
142.0,93961.3672
144.0,94512.0625
146.0,93531.4375
148.0,94317.1875
150.0,93950.7891
152.0,94304.6797
154.0,94013.4688
156.0,93375.3516
158.0,93439.8828
160.0,93721.1719
162.0,93735.9453
164.0,93662.5391
166.0,94120.9688
168.0,94268.9453
170.0,94024.6953
172.0,94219.0391
174.0,93853.375
176.0,94028.1094
178.0,93637.8984
180.0,94153.2188
182.0,93740.1328
184.0,94166.6484
186.0,93735.6016
188.0,93862.8047
190.0,93458.7812
192.0,93816.3125
194.0,93929.1719
196.0,94041.0703
198.0,94109.2734
200.0,93867.8594
202.0,93564.9922
204.0,94070.6484
206.0,93901.3906
208.0,93905.1562
210.0,94030.2422
212.0,93973.6953
214.0,93998.1016
216.0,93644.5938
218.0,94226.6953
220.0,93731.1484
222.0,93522.7734
224.0,93627.5312
226.0,93706.6562
228.0,93783.8984
230.0,94196.3125
232.0,93768.6562
234.0,94127.0469
236.0,93838.3359
238.0,93810.5859
240.0,94084.3828
242.0,93714.6484
244.0,93470.4297
246.0,94070.6797
248.0,93880.6641
250.0,94218.2266
252.0,93962.4688
254.0,94183.9531
256.0,93698.8359
258.0,93583.0234
260.0,93565.7188
262.0,93708.4609
264.0,94220.2031
266.0,94008.9453
268.0,94093.8125
270.0,93850.0703
272.0,93537.7109
274.0,94215.8359
276.0,94286.5469
278.0,93930.3594
280.0,93597.2188
282.0,93975.9609
284.0,93748.2734
286.0,93830.9453
288.0,94136.7266
290.0,93706.2969
292.0,93886.3125
294.0,93278.4453
296.0,93974.7188
298.0,94258.1328
300.0,94051.7266
302.0,93798.1562
304.0,93505.2891
306.0,94102.0547
308.0,94067.1641
310.0,93482.3672
312.0,93907.1406
314.0,94171.9062
316.0,94062.0078
318.0,93741.2031
320.0,94276.9688
322.0,93975.6406
324.0,93710.6562
326.0,93764.2422
328.0,94272.8203
330.0,93705.2891
332.0,93314.1484
334.0,93773.1719
336.0,94411.2734
338.0,93941.8984
340.0,94227.2656
342.0,93856.7109
344.0,93892.3906
346.0,93848.4922
348.0,94033.0
350.0,93311.8047
352.0,94155.2344
354.0,93952.7734
356.0,94218.3203
358.0,93599.8438
360.0,93647.7969
362.0,93818.2344
364.0,94004.6016
366.0,93782.7812
368.0,93919.8672
370.0,93913.7812
372.0,93441.9688
374.0,93802.2266
376.0,94560.8438
378.0,94019.9062
380.0,94036.8984
382.0,93930.4531
384.0,93526.7812
386.0,93718.0781
388.0,93345.5312
390.0,93963.3906
392.0,93788.3047
394.0,93636.9141
396.0,94205.8594
398.0,93564.3516
400.0,93952.9062
402.0,94293.1328
404.0,93953.4766
406.0,93704.6328
408.0,94062.5859
410.0,93818.7031
412.0,94106.4609
414.0,93995.4531
416.0,94049.4609
418.0,93940.7266
420.0,93862.9141
422.0,94206.3359
424.0,93687.2578
426.0,93433.1953
428.0,93295.2656
430.0,93753.1875
432.0,93799.3906
434.0,93773.9062
436.0,93758.4844
438.0,93692.2188
440.0,93800.25
442.0,93860.3828
444.0,93932.2422
446.0,93877.5234
448.0,93108.9453
450.0,93610.2969
452.0,93999.2422
454.0,94055.0625
456.0,93976.0938
458.0,94128.9453
460.0,93647.9297
462.0,93599.5312
464.0,94134.7656
466.0,93947.4609
468.0,93602.2188
470.0,93949.3906
472.0,93596.3828
474.0,93879.4688
476.0,94188.8984
478.0,93791.4375
480.0,93875.4766
482.0,93209.5234
484.0,94200.0859
486.0,93789.75
488.0,94100.5859
490.0,94083.4453
492.0,94229.0078
494.0,93886.8984
496.0,93762.9688
498.0,93809.7109
500.0,94460.8594
502.0,94008.3203
504.0,94004.2812
506.0,93631.5859
508.0,93449.2891
510.0,93990.0234
512.0,93534.2656
514.0,93703.9219
516.0,94087.4922
518.0,93920.6328
520.0,93952.7109
522.0,94034.75
524.0,93657.2266
526.0,93966.4141
528.0,93831.8438
530.0,93883.1953
532.0,94038.7188
534.0,93529.1016
536.0,94262.75
538.0,93959.4766
540.0,94183.1719
542.0,93665.4766
544.0,93539.2422
546.0,93866.9922
548.0,94002.7031
550.0,94167.1094
552.0,94129.4219
554.0,94455.4609
556.0,93809.0156
558.0,93772.8203
560.0,93837.3906
562.0,94079.5547
564.0,94177.9922
566.0,93354.2969
568.0,94094.9844
570.0,93960.3047
572.0,93615.3906
574.0,94043.0938
576.0,93836.5
578.0,94152.7422
580.0,93779.1641
582.0,93874.0469
584.0,93740.2031
586.0,94452.0547
588.0,94081.0078
590.0,93659.0781
592.0,93961.9531
594.0,93804.7188
596.0,93424.6641
598.0,93757.4922
600.0,94267.3125
602.0,93704.4219
604.0,93770.4453
606.0,93782.0078
608.0,94149.0938
610.0,93433.7734
612.0,93683.6641
614.0,93558.3438
616.0,93933.1719
618.0,94074.4766
620.0,93919.6094
622.0,93853.25
624.0,93177.3516
626.0,94271.2031
628.0,93881.9219
630.0,93694.0391
632.0,93705.9766
634.0,93855.4531
636.0,93675.8203
638.0,93790.8281
640.0,94094.0781
642.0,93716.5469
644.0,94061.5391
646.0,93958.875
648.0,93929.4375
650.0,94049.8594
652.0,93402.4375
654.0,93907.7969
656.0,93402.1641
658.0,94157.6953
660.0,93455.4375
662.0,94154.6875
664.0,93713.5
666.0,93831.0781
668.0,93846.1953
670.0,94240.4844
672.0,93881.5938
674.0,93915.4219
676.0,93966.0547
678.0,94263.0391
680.0,93849.9453
682.0,94372.2578
684.0,93858.3906
686.0,94038.9141
688.0,93731.2734
690.0,93851.875
692.0,93758.3203
694.0,93922.7031
696.0,94419.7969
698.0,94007.1484
700.0,94046.7734
702.0,94011.7656
704.0,94064.3047
706.0,93975.0234
708.0,93610.8281
710.0,93720.7109
712.0,94308.2578
714.0,94471.7422
716.0,93884.9922
718.0,93647.6484
720.0,93601.9062
722.0,93663.1562
724.0,94021.0938
726.0,93946.1719
728.0,93775.2188
730.0,93759.1484
732.0,94140.2031
734.0,93917.1719
736.0,93748.5859
738.0,93958.6562
740.0,94000.4062
742.0,93805.7656
744.0,93634.7344
746.0,93796.9453
748.0,93713.3438
750.0,93924.5469
752.0,93876.0469
754.0,94203.9219
756.0,93831.9766
758.0,93910.6328
760.0,93805.6719
762.0,93798.6016
764.0,93600.8438
766.0,93985.7266
768.0,93854.4922
770.0,93933.1406
772.0,93733.5938
774.0,93506.1797
776.0,94072.0703
778.0,93692.9922
780.0,93700.0312
782.0,93882.1094
784.0,93411.8125
786.0,93488.9141
788.0,94153.625
790.0,94026.4688
792.0,93798.875
794.0,93651.6562
796.0,94031.3984
798.0,93643.4141
800.0,94172.9688
802.0,93491.8828
804.0,93755.625
806.0,93495.5312
808.0,93956.0469
810.0,93648.3047
812.0,94086.6953
814.0,93779.5547
816.0,93707.4219
818.0,93981.0703
820.0,93851.3984
822.0,93963.5781
824.0,93784.8359
826.0,94429.7031
828.0,94261.9688
830.0,93766.5625
832.0,93882.6719
834.0,93812.75
836.0,94106.7578
838.0,93987.0859
840.0,93894.1172
842.0,93742.6172
844.0,93981.1875
846.0,93803.1953
848.0,93882.1094
850.0,93871.2969
852.0,94109.2734
854.0,93624.3828
856.0,94500.6094
858.0,93821.8438
860.0,93940.3359
862.0,93777.8594
864.0,93538.3828
