Time (ps),ETOT
78.4,-826436.6835
78.6,-826721.4889
78.8,-826701.0913
79.0,-827033.9893
79.2,-827133.4884
79.4,-827313.2458
79.6,-827078.8839
79.8,-827407.1171
80.0,-827363.5386
80.2,-827555.1485
80.4,-827187.5206
80.6,-827583.887
80.8,-827243.5214
81.0,-827143.5297
81.2,-827318.7407
81.4,-827726.2293
81.6,-827851.5245
81.8,-827734.8025
82.0,-827520.5414
82.2,-827673.5072
82.4,-827927.9839
82.6,-828327.8699
82.8,-828311.6293
83.0,-828038.7858
83.2,-827489.512
83.4,-827886.2694
83.6,-827839.8589
83.8,-827933.6809
84.0,-827802.3647
84.2,-827944.0029
84.4,-827934.8924
84.6,-827511.4705
84.8,-827864.1742
85.0,-827889.1123
85.2,-828431.3951
85.4,-827924.3722
85.6,-828010.6722
85.8,-827844.5296
86.0,-827774.6663
86.2,-827755.0631
86.4,-827784.3148
86.6,-827638.3287
86.8,-827853.0963
87.0,-827911.0925
87.2,-827975.3133
87.4,-828247.4493
87.6,-828884.1143
87.8,-828610.497
88.0,-828292.4511
88.2,-828232.5737
88.4,-828047.0915
88.6,-828467.9971
88.8,-828615.0831
89.0,-828411.5959
89.2,-828498.4941
89.4,-828388.6929
89.6,-828469.3346
89.8,-828047.7538
90.0,-828134.707
90.2,-828691.622
90.4,-828781.4486
90.6,-828404.0611
90.8,-828942.336
91.0,-829061.6601
91.2,-829200.2442
91.4,-828734.169
91.6,-828389.3944
91.8,-828587.4435
92.0,-828701.0775
92.2,-828610.5548
92.4,-828276.9836
92.6,-828516.2525
92.8,-828374.915
93.0,-828617.501
93.2,-828675.5812
93.4,-828662.4711
93.6,-828651.5151
93.8,-828960.6912
94.0,-828730.1423
94.2,-828680.8058
94.4,-828856.4959
94.6,-829225.2696
94.8,-829170.3229
95.0,-829014.7082
95.2,-828367.4594
95.4,-828851.2424
95.6,-828868.4787
95.8,-829221.7014
96.0,-829100.5169
96.2,-829213.8622
96.4,-828872.517
96.6,-828889.8643
96.8,-828973.0569
97.0,-828933.1041
97.2,-829188.7884
97.4,-829605.9999
97.6,-829626.8024
97.8,-829508.2416
98.0,-829742.5273
98.2,-829393.8018
98.4,-829618.0427
98.6,-829961.0918
98.8,-829842.9711
99.0,-829691.8183
99.2,-829870.1763
99.4,-829363.4507
99.6,-829163.8705
99.8,-829194.6684
100.0,-829170.2282
100.2,-829651.8787
100.4,-829818.2321
100.6,-829953.517
100.8,-829751.0801
101.0,-829790.5491
101.2,-829897.414
101.4,-829676.9319
101.6,-829682.6936
101.8,-829400.2971
102.0,-829557.7155
102.2,-829144.6209
102.4,-829414.3779
102.6,-829404.0981
102.8,-829398.0354
103.0,-829411.096
103.2,-830080.1945
103.4,-830178.4879
103.6,-829886.9802
103.8,-829860.24
104.0,-830393.1415
104.2,-830263.2801
104.4,-830106.1098
104.6,-830225.2604
104.8,-830184.3029
105.0,-830130.5849
105.2,-830297.9732
105.4,-830243.0047
105.6,-830050.4004
105.8,-830377.1959
106.0,-830068.3476
106.2,-830024.7805
106.4,-830062.3054
106.6,-830039.7225
106.8,-830158.1271
107.0,-830118.2392
107.2,-830276.6471
107.4,-830709.2618
107.6,-830748.996
107.8,-830446.1025
108.0,-830521.6208
108.2,-830551.0564
108.4,-830628.7305
108.6,-830811.8369
108.8,-830994.4627
109.0,-830915.0921
109.2,-830659.9146
109.4,-830497.2999
109.6,-830793.299
109.8,-830171.2004
110.0,-830076.4672
110.2,-830118.0042
110.4,-830484.1856
110.6,-830778.4738
110.8,-830821.016
111.0,-830568.3154
111.2,-830346.0823
111.4,-830132.3746
111.6,-830163.0706
111.8,-830028.1379
112.0,-830123.5231
112.2,-830421.6083
112.4,-830858.142
112.6,-830456.3808
112.8,-831055.4309
113.0,-831265.8674
113.2,-831085.1443
113.4,-830908.6401
113.6,-831531.6419
113.8,-831575.9138
114.0,-831333.8624
114.2,-830996.7217
114.4,-830765.6261
114.6,-830426.7462
114.8,-830620.8299
115.0,-830825.6983
115.2,-830909.0502
115.4,-831269.7631
115.6,-831063.0211
115.8,-831019.3024
116.0,-830755.3016
116.2,-830921.3295
116.4,-830484.0426
116.6,-830140.2871
116.8,-830397.6582
117.0,-830851.9997
117.2,-830797.2382
117.4,-830309.6887
117.6,-830234.3026
117.8,-830501.2837
118.0,-830927.9681
118.2,-830594.3752
118.4,-831273.1606
118.6,-831367.3826
118.8,-831441.8771
119.0,-831560.1359
119.2,-831619.8216
119.4,-831502.0766
119.6,-831347.5998
119.8,-831460.19
120.0,-831700.1142
120.2,-831647.7762
120.4,-831319.4748
120.6,-831282.724
120.8,-830965.3206
121.0,-831115.544
121.2,-831106.2742
121.4,-831540.9788
121.6,-831146.3072
121.8,-831473.6084
122.0,-831565.9384
122.2,-832037.3036
122.4,-832368.1215
122.6,-831928.5458
122.8,-831854.749
123.0,-832160.0045
123.2,-832000.3419
123.4,-831969.7154
123.6,-831512.568
123.8,-831502.7331
124.0,-831384.8825
124.2,-831559.4936
124.4,-831278.3394
124.6,-831266.9848
124.8,-831776.2677
125.0,-831953.086
125.2,-831699.4116
125.4,-831982.3302
125.6,-831884.5226
125.8,-831391.0139
126.0,-831382.6415
126.2,-831260.2846
126.4,-831097.8703
126.6,-831640.0482
126.8,-831582.1652
127.0,-831768.4039
127.2,-831750.9929
127.4,-832106.5263
127.6,-831997.6169
127.8,-831817.8616
128.0,-832186.3563
128.2,-832523.9126
128.4,-832150.5486
128.6,-831951.2252
128.8,-831664.7285
129.0,-831977.1738
129.2,-831527.8333
129.4,-831662.5903
129.6,-831611.8801
129.8,-831289.5301
130.0,-830991.8057
130.2,-831391.1302
130.4,-832027.4089
130.6,-832066.1354
130.8,-832288.8883
131.0,-832144.7611
131.2,-832195.6125
131.4,-832066.336
131.6,-832173.1435
131.8,-832326.1167
132.0,-832086.0301
132.2,-831886.6115
132.4,-831970.7443
132.6,-831986.8069
132.8,-832382.0604
133.0,-832017.97
