Time (ps),TEMP
99.8,299.86
100.0,299.27
100.2,299.6
100.4,299.97
100.6,300.95
100.8,300.07
101.0,300.13
101.2,300.74
101.4,300.75
101.6,300.47
101.8,300.97
102.0,301.19
102.2,300.68
102.4,300.6
102.6,301.26
102.8,300.88
103.0,300.97
103.2,300.37
103.4,300.32
103.6,299.85
103.8,300.92
104.0,298.3
104.2,299.93
104.4,299.64
104.6,300.46
104.8,300.08
105.0,299.85
105.2,300.41
105.4,298.96
105.6,300.66
105.8,300.42
106.0,299.79
106.2,301.02
106.4,299.91
106.6,300.61
106.8,300.17
107.0,300.51
107.2,300.0
107.4,297.77
107.6,299.66
107.8,299.69
108.0,300.45
108.2,299.94
108.4,299.42
108.6,298.94
108.8,298.65
109.0,299.9
109.2,299.02
109.4,300.06
109.6,299.69
109.8,299.74
110.0,300.95
110.2,301.36
110.4,300.97
110.6,298.51
110.8,299.81
111.0,299.43
111.2,300.48
111.4,301.31
111.6,299.94
111.8,301.26
112.0,300.71
112.2,300.53
112.4,298.33
112.6,301.02
112.8,299.71
113.0,298.18
113.2,298.81
113.4,300.54
113.6,299.33
113.8,298.69
114.0,299.14
114.2,299.54
114.4,300.14
114.6,300.45
114.8,300.21
115.0,299.92
115.2,300.17
115.4,299.69
115.6,301.49
115.8,299.67
116.0,299.93
116.2,299.98
116.4,301.05
116.6,301.74
116.8,301.65
117.0,300.72
117.2,301.33
117.4,301.1
117.6,301.74
117.8,301.27
118.0,300.9
118.2,302.18
118.4,299.71
118.6,299.68
118.8,299.92
119.0,299.24
119.2,300.62
119.4,299.9
119.6,301.46
119.8,300.12
120.0,299.81
120.2,300.15
120.4,299.99
120.6,300.97
120.8,300.98
121.0,301.17
121.2,300.42
121.4,301.08
121.6,300.51
121.8,299.59
122.0,300.71
122.2,299.27
122.4,298.95
122.6,300.44
122.8,299.07
123.0,298.68
123.2,298.67
123.4,299.99
123.6,301.3
123.8,300.52
124.0,300.05
124.2,299.1
124.4,300.29
124.6,300.91
124.8,299.89
125.0,299.24
125.2,299.98
125.4,299.97
125.6,300.1
125.8,300.15
126.0,301.84
126.2,302.29
126.4,301.01
126.6,300.63
126.8,299.83
127.0,300.38
127.2,300.43
127.4,299.57
127.6,300.56
127.8,300.71
128.0,299.21
128.2,298.09
128.4,300.16
128.6,301.27
128.8,300.7
129.0,299.83
129.2,301.81
129.4,300.64
129.6,300.75
129.8,301.78
130.0,302.03
130.2,301.35
130.4,300.28
130.6,300.21
130.8,299.93
131.0,299.26
131.2,300.78
131.4,300.6
131.6,299.3
131.8,299.72
132.0,300.25
132.2,300.38
132.4,300.79
132.6,301.69
132.8,299.73
133.0,300.96
133.2,300.56
133.4,299.9
133.6,300.37
133.8,301.85
134.0,300.11
134.2,300.25
134.4,301.31
134.6,300.13
134.8,299.96
135.0,301.17
135.2,301.4
135.4,300.76
135.6,299.53
135.8,300.58
136.0,299.02
136.2,299.89
136.4,300.57
136.6,299.67
136.8,299.82
137.0,299.37
137.2,299.75
137.4,300.36
137.6,301.37
137.8,301.39
138.0,300.42
138.2,300.66
138.4,301.58
138.6,301.16
138.8,300.06
139.0,302.91
139.2,300.62
139.4,300.61
139.6,300.1
139.8,300.64
140.0,300.33
140.2,300.66
140.4,300.3
140.6,299.79
140.8,300.42
141.0,300.06
141.2,300.75
141.4,301.0
141.6,299.41
141.8,300.02
142.0,298.99
142.2,299.83
142.4,299.9
142.6,299.91
142.8,299.16
143.0,298.36
143.2,298.99
143.4,299.64
143.6,299.3
143.8,299.45
144.0,300.81
144.2,300.57
144.4,298.82
144.6,299.16
144.8,299.27
145.0,300.0
145.2,300.3
145.4,299.98
145.6,299.08
145.8,299.12
146.0,299.05
146.2,299.8
146.4,299.27
146.6,299.72
146.8,299.94
147.0,299.52
147.2,301.82
147.4,300.88
147.6,299.62
147.8,299.85
148.0,299.75
148.2,300.45
148.4,299.26
148.6,300.66
148.8,298.74
149.0,300.47
149.2,301.01
149.4,299.96
149.6,299.41
149.8,300.72
150.0,299.45
150.2,298.65
150.4,299.2
150.6,300.92
150.8,300.71
151.0,299.76
151.2,300.28
151.4,299.64
151.6,300.04
151.8,300.2
152.0,300.22
152.2,302.51
152.4,300.38
152.6,301.08
152.8,300.34
153.0,300.36
153.2,299.4
153.4,300.05
153.6,300.57
153.8,299.62
154.0,299.51
154.2,301.02
154.4,300.23
154.6,300.04
154.8,298.97
155.0,298.63
155.2,299.95
155.4,299.17
155.6,298.97
155.8,301.76
156.0,300.45
156.2,300.95
156.4,301.06
156.6,301.57
156.8,300.62
157.0,301.52
157.2,301.22
157.4,298.8
157.6,300.64
157.8,298.79
158.0,298.89
158.2,298.61
158.4,298.36
158.6,298.9
158.8,299.89
159.0,299.25
159.2,300.97
159.4,299.13
159.6,299.34
159.8,298.54
160.0,300.72
160.2,299.35
160.4,299.06
160.6,300.13
160.8,298.97
161.0,299.31
161.2,299.24
161.4,299.68
161.6,300.85
161.8,300.99
162.0,300.36
162.2,301.1
162.4,299.94
162.6,301.08
162.8,301.42
163.0,299.49
163.2,300.52
163.4,299.81
163.6,299.15
163.8,299.55
164.0,299.6
164.2,300.57
164.4,301.05
164.6,299.59
164.8,299.62
165.0,300.23
165.2,299.66
165.4,300.11
165.6,299.51
165.8,298.89
166.0,300.2
166.2,300.78
166.4,300.69
166.6,300.45
166.8,300.72
167.0,299.99
167.2,299.63
167.4,300.1
167.6,300.64
167.8,300.38
168.0,300.36
168.2,301.09
168.4,300.04
168.6,300.36
168.8,301.34
169.0,300.59
169.2,301.12
169.4,300.03
169.6,300.05
169.8,299.81
170.0,299.8
170.2,301.07
170.4,301.11
170.6,300.88
170.8,300.54
171.0,300.11
171.2,301.6
171.4,299.35
171.6,301.45
171.8,299.67
172.0,299.39
172.2,300.13
172.4,300.74
172.6,299.99
172.8,299.48
173.0,300.0
173.2,299.74
173.4,300.81
173.6,299.63
173.8,299.32
174.0,299.79
174.2,300.79
174.4,299.66
174.6,299.27
174.8,298.73
175.0,299.15
175.2,299.0
175.4,299.3
175.6,299.2
175.8,300.95
176.0,300.18
176.2,299.83
176.4,299.19
176.6,300.04
176.8,299.97
177.0,300.75
177.2,300.19
177.4,299.11
177.6,300.55
177.8,299.77
178.0,300.05
178.2,300.22
178.4,299.21
178.6,298.41
178.8,299.71
179.0,299.23
179.2,299.03
179.4,300.23
179.6,300.06
179.8,299.19
180.0,299.82
180.2,301.15
180.4,300.95
180.6,300.62
180.8,300.45
181.0,300.78
181.2,302.47
181.4,300.18
181.6,302.05
181.8,300.72
182.0,301.55
182.2,299.64
182.4,301.5
182.6,299.99
182.8,298.47
183.0,298.36
183.2,299.32
183.4,298.42
183.6,298.4
183.8,298.8
184.0,299.2
184.2,298.85
184.4,300.21
184.6,299.08
184.8,298.89
185.0,300.34
185.2,299.65
185.4,297.52
185.6,298.58
185.8,300.12
186.0,301.2
186.2,299.34
186.4,300.49
186.6,299.92
186.8,299.66
187.0,298.9
187.2,298.63
187.4,297.54
187.6,298.41
187.8,298.98
188.0,299.42
188.2,298.42
188.4,300.65
188.6,299.36
188.8,300.39
189.0,299.5
189.2,299.71
189.4,299.83
189.6,298.24
189.8,300.17
190.0,299.74
190.2,300.67
190.4,299.81
190.6,299.74
190.8,300.55
191.0,299.82
191.2,299.81
191.4,299.66
191.6,299.38
191.8,298.37
192.0,298.66
192.2,299.26
192.4,299.18
192.6,298.93
192.8,299.75
193.0,298.31
193.2,300.05
193.4,299.53
193.6,298.54
193.8,298.84
194.0,299.37
194.2,300.03
194.4,301.63
194.6,301.14
194.8,300.68
195.0,301.39
195.2,300.17
195.4,299.97
195.6,299.86
195.8,299.72
196.0,299.24
196.2,301.52
196.4,298.48
196.6,300.53
196.8,299.66
197.0,298.5
197.2,299.88
197.4,300.46
197.6,299.23
197.8,299.57
198.0,299.23
198.2,300.34
198.4,298.27
198.6,299.87
198.8,300.44
199.0,301.06
199.2,301.41
199.4,300.06
199.6,301.13
199.8,300.43
200.0,300.4
200.2,299.53
200.4,300.29
200.6,299.11
200.8,299.05
201.0,299.46
201.2,298.9
201.4,299.66
201.6,300.1
201.8,300.75
202.0,299.94
202.2,299.18
202.4,298.8
202.6,299.58
202.8,299.61
203.0,299.15
203.2,300.64
203.4,299.53
203.6,301.64
203.8,300.32
204.0,301.33
204.2,300.6
204.4,299.91
204.6,299.83
204.8,300.79
205.0,299.82
205.2,301.47
205.4,299.36
205.6,300.48
205.8,298.84
206.0,300.44
206.2,300.18
206.4,300.3
206.6,299.14
206.8,299.25
207.0,301.35
207.2,301.39
207.4,300.05
207.6,299.84
207.8,299.85
208.0,300.27
208.2,298.95
208.4,300.24
208.6,301.3
208.8,301.07
209.0,300.66
209.2,300.36
209.4,300.08
209.6,299.74
209.8,300.3
210.0,300.69
210.2,300.84
210.4,300.53
210.6,299.58
210.8,299.53
211.0,299.87
211.2,300.64
211.4,299.02
211.6,299.5
211.8,299.4
212.0,300.51
212.2,300.27
212.4,299.18
212.6,300.35
212.8,299.55
213.0,300.04
213.2,299.68
213.4,297.72
213.6,299.03
213.8,298.75
214.0,298.84
214.2,299.61
214.4,299.06
214.6,299.05
214.8,299.24
215.0,298.3
215.2,299.93
215.4,299.77
215.6,300.07
215.8,299.78
216.0,300.43
216.2,299.97
216.4,299.86
216.6,299.93
216.8,300.85
217.0,298.59
217.2,300.96
217.4,299.91
217.6,299.98
217.8,300.32
218.0,301.0
218.2,298.93
218.4,300.01
218.6,299.33
218.8,300.35
219.0,300.06
219.2,300.26
219.4,300.92
219.6,300.36
219.8,300.33
220.0,301.01
220.2,300.15
220.4,298.75
220.6,298.88
220.8,300.18
221.0,299.83
221.2,299.82
221.4,300.54
221.6,300.16
221.8,298.82
222.0,299.72
222.2,299.87
222.4,301.21
222.6,300.94
222.8,300.88
223.0,299.6
223.2,300.44
223.4,299.26
223.6,299.25
223.8,299.6
224.0,298.81
224.2,299.27
224.4,300.63
224.6,300.76
224.8,300.21
225.0,300.41
