Time (ps),EPTOT
78.4,-910556.7496
78.6,-910794.7315
78.8,-910787.4641
79.0,-910559.4646
79.2,-911038.2861
79.4,-911307.8411
79.6,-911182.1669
79.8,-911204.4091
80.0,-911427.6347
80.2,-911544.7052
80.4,-911155.4582
80.6,-911180.5636
80.8,-910997.2657
81.0,-911443.8886
81.2,-911030.1487
81.4,-911421.2633
81.6,-911296.0888
81.8,-911471.8562
82.0,-911443.5764
82.2,-911582.1848
82.4,-911708.6636
82.6,-912224.9154
82.8,-911989.2129
83.0,-911767.6851
83.2,-911485.0745
83.4,-911849.6082
83.6,-911548.9413
83.8,-911820.773
84.0,-911849.1995
84.2,-911896.976
84.4,-911673.6392
84.6,-911938.3533
84.8,-911968.2096
85.0,-911972.4833
85.2,-912331.7223
85.4,-912152.9592
85.6,-912150.4516
85.8,-911650.5219
86.0,-911927.5756
86.2,-911987.1497
86.4,-911786.2594
86.6,-911941.9285
86.8,-911835.1322
87.0,-912042.7911
87.2,-912129.2685
87.4,-912256.9363
87.6,-912486.5383
87.8,-912443.322
88.0,-911975.603
88.2,-912821.8415
88.4,-912327.4999
88.6,-912399.6385
88.8,-912498.2265
89.0,-912463.8189
89.2,-912599.8806
89.4,-912470.3877
89.6,-912484.326
89.8,-912493.3086
90.0,-912045.7613
90.2,-912748.246
90.4,-912452.2143
90.6,-912087.3309
90.8,-912746.0931
91.0,-912612.4351
91.2,-912898.0475
91.4,-912954.966
91.6,-912625.8259
91.8,-912630.0339
92.0,-913021.3412
92.2,-912610.8022
92.4,-912363.384
92.6,-912632.0868
92.8,-912484.1911
93.0,-912539.8212
93.2,-912646.3692
93.4,-912703.0773
93.6,-912714.0081
93.8,-912887.0987
94.0,-912697.9747
94.2,-912726.5288
94.4,-912621.4186
94.6,-913140.2537
94.8,-913174.3281
95.0,-913165.5989
95.2,-912707.9485
95.4,-913083.3643
95.6,-913190.0546
95.8,-913213.4999
96.0,-913142.8125
96.2,-913461.1106
96.4,-913023.3072
96.6,-912999.3236
96.8,-912923.555
97.0,-912948.0618
97.2,-912990.2973
97.4,-913161.2071
97.6,-913048.0924
97.8,-913267.1279
98.0,-913588.6863
98.2,-913439.0227
98.4,-913402.9903
98.6,-913861.7339
98.8,-913986.357
99.0,-913596.2063
99.2,-913759.741
99.4,-913464.3825
99.6,-913258.083
99.8,-913110.3495
100.0,-912919.7117
100.2,-913493.3453
100.4,-913763.2868
100.6,-914173.7794
100.8,-913724.7603
101.0,-913782.2425
101.2,-914058.3907
101.4,-913840.4042
101.6,-913770.0361
101.8,-913625.1814
102.0,-913844.2552
102.2,-913289.4589
102.4,-913536.3667
102.6,-913709.9077
102.8,-913597.4651
103.0,-913637.4402
103.2,-914139.1424
103.4,-914223.7159
103.6,-913800.5033
103.8,-914073.1795
104.0,-913872.769
104.2,-914198.6929
104.4,-913959.9472
104.6,-914308.9835
104.8,-914160.642
105.0,-914042.9227
105.2,-914367.1855
105.4,-913905.4514
105.6,-914188.8172
105.8,-914450.0211
106.0,-913964.6458
106.2,-914264.1115
106.4,-913990.9511
106.6,-914165.6693
106.8,-914159.8693
107.0,-914215.9709
107.2,-914231.8884
107.4,-914038.6125
107.6,-914609.3486
107.8,-914313.8912
108.0,-914600.6667
108.2,-914488.5057
108.4,-914420.2255
108.6,-914470.2443
108.8,-914571.537
109.0,-914841.3568
109.2,-914341.1919
109.4,-914468.1233
109.6,-914659.8615
109.8,-914052.8529
110.0,-914295.6942
110.2,-914454.047
110.4,-914710.2257
110.6,-914314.8032
110.8,-914721.2699
111.0,-914364.0867
111.2,-914435.8198
111.4,-914454.8086
111.6,-914101.9079
111.8,-914336.1208
112.0,-914277.5079
112.2,-914524.5719
112.4,-914346.5379
112.6,-914697.0686
112.8,-914929.7276
113.0,-914711.0126
113.2,-914706.6032
113.4,-915013.0688
113.6,-915299.4809
113.8,-915164.1961
114.0,-915049.0204
114.2,-914823.194
114.4,-914758.779
114.6,-914506.0812
114.8,-914632.9461
115.0,-914757.4051
115.2,-914909.9664
115.4,-915136.3268
115.6,-915435.4411
115.8,-914882.3289
116.0,-914689.2107
116.2,-914869.0692
116.4,-914733.0965
116.6,-914582.3859
116.8,-914813.4459
117.0,-915007.0924
117.2,-915123.3414
117.4,-914572.2751
117.6,-914675.5657
117.8,-914811.4454
118.0,-915133.1849
118.2,-915158.7802
118.4,-915146.5513
118.6,-915231.4477
118.8,-915374.2592
119.0,-915302.2083
119.2,-915747.7734
119.4,-915429.8564
119.6,-915710.5983
119.8,-915448.3313
120.0,-915601.3148
120.2,-915643.4285
120.4,-915272.2536
120.6,-915507.8919
120.8,-915192.7476
121.0,-915397.6504
121.2,-915177.3606
121.4,-915796.5967
121.6,-915243.5876
121.8,-915312.9678
122.0,-915719.646
122.2,-915788.8248
122.4,-916028.076
122.6,-916005.6198
122.8,-915549.5259
123.0,-915744.1673
123.2,-915582.1721
123.4,-915920.2852
123.6,-915830.9513
123.8,-915601.5697
124.0,-915352.182
124.2,-915261.3965
124.4,-915315.1485
124.6,-915477.1798
124.8,-915700.8862
125.0,-915696.1083
125.2,-915647.764
125.4,-915928.503
125.6,-915868.3569
125.8,-915386.7139
126.0,-915850.861
126.2,-915854.2486
126.4,-915334.2874
126.6,-915770.7252
126.8,-915489.3711
127.0,-915830.3611
127.2,-915826.6764
127.4,-915940.041
127.6,-916107.5192
127.8,-915970.2446
128.0,-915918.6641
128.2,-915942.7842
128.4,-916150.5713
128.6,-916261.9322
128.8,-915815.3846
129.0,-915885.376
129.2,-915988.3599
129.4,-915795.8606
129.6,-915777.0937
129.8,-915741.6371
130.0,-915515.6079
130.2,-915722.5496
130.4,-916061.5365
130.6,-916080.6476
130.8,-916224.3455
131.0,-915893.4291
131.2,-916367.8779
131.4,-916189.9126
131.6,-915933.0423
131.8,-916201.6647
132.0,-916110.188
132.2,-915947.236
132.4,-916145.8343
132.6,-916413.0314
132.8,-916262.2268
133.0,-916241.9973
133.2,-916400.3557
133.4,-916008.2043
133.6,-915929.092
133.8,-916250.861
134.0,-915882.1746
134.2,-916279.89
134.4,-916425.1456
134.6,-916201.3818
134.8,-916255.8451
135.0,-916190.912
135.2,-916330.8447
135.4,-916421.5151
135.6,-916550.9257
135.8,-916703.0795
136.0,-916103.8728
136.2,-916630.3707
136.4,-916791.5352
136.6,-917032.5147
136.8,-916925.3768
137.0,-916684.2834
137.2,-916586.2461
137.4,-916350.7047
137.6,-916469.1515
137.8,-916477.5358
138.0,-916334.7843
138.2,-916617.6223
138.4,-916890.6554
138.6,-916776.5061
138.8,-916736.1584
139.0,-916860.7324
139.2,-916407.2597
139.4,-916717.3845
139.6,-916861.9507
139.8,-916734.7376
140.0,-916434.0671
140.2,-916677.6492
140.4,-916701.6388
140.6,-916481.9279
140.8,-916790.8816
141.0,-916468.5102
141.2,-917005.2757
141.4,-916678.9806
141.6,-916806.4734
141.8,-917049.2558
142.0,-916843.3697
142.2,-917251.9554
142.4,-916987.1977
142.6,-917023.5689
142.8,-917078.9685
143.0,-916811.0761
143.2,-916861.9295
143.4,-916861.6191
143.6,-916972.1084
143.8,-917284.388
144.0,-917540.1063
144.2,-917534.1819
144.4,-917009.3542
144.6,-917058.5121
144.8,-917186.6532
145.0,-916595.1495
145.2,-916778.8297
145.4,-916761.4249
145.6,-916964.9295
145.8,-917279.2596
146.0,-917301.4041
146.2,-917394.6071
146.4,-917391.8404
146.6,-917515.6691
146.8,-917061.0847
147.0,-917093.9487
147.2,-917531.1712
147.4,-917314.7829
147.6,-916939.7982
147.8,-917107.0647
148.0,-917062.0262
148.2,-917079.699
148.4,-916686.7296
148.6,-916932.4606
148.8,-916977.4457
149.0,-917274.5494
149.2,-917357.8805
149.4,-917083.1518
149.6,-916796.0183
149.8,-917380.4583
150.0,-917279.6824
150.2,-917273.8747
150.4,-917715.046
150.6,-917696.9646
150.8,-917554.0832
151.0,-916813.8651
151.2,-916920.029
151.4,-916970.1816
151.6,-917332.8295
151.8,-917114.78
152.0,-917068.8376
152.2,-917255.0435
152.4,-916727.0974
152.6,-916866.8958
152.8,-917031.3629
153.0,-917584.1573
153.2,-917196.9377
153.4,-917354.3464
153.6,-917392.744
153.8,-917181.583
154.0,-917013.7307
154.2,-917633.1143
154.4,-917499.4749
154.6,-917662.8078
154.8,-917343.2618
155.0,-917386.6735
155.2,-917621.2512
155.4,-917622.4812
155.6,-917278.3837
155.8,-917509.7883
156.0,-917016.2628
156.2,-917030.6107
156.4,-917285.7002
156.6,-917302.5632
156.8,-917018.5644
157.0,-917249.7291
157.2,-917564.8621
157.4,-917289.957
157.6,-917979.6353
157.8,-917733.445
158.0,-917968.7037
158.2,-918062.4585
158.4,-917965.867
158.6,-918047.7526
158.8,-917811.7363
159.0,-917375.7692
159.2,-917679.1352
159.4,-917349.0575
159.6,-917541.8391
159.8,-917521.4846
160.0,-917958.0154
160.2,-917664.5297
160.4,-917463.7425
160.6,-917896.4122
160.8,-917883.3598
161.0,-918071.8968
161.2,-917806.2348
161.4,-917607.9199
161.6,-917582.466
161.8,-917384.3345
162.0,-917474.4193
162.2,-917737.0002
162.4,-917219.538
162.6,-917874.4517
162.8,-917936.6467
163.0,-917339.3008
163.2,-918082.0052
163.4,-918268.4452
163.6,-917938.8226
163.8,-917745.0364
164.0,-917776.9804
164.2,-918179.1306
164.4,-918173.9594
164.6,-918246.331
164.8,-918344.1307
165.0,-918288.5905
165.2,-918070.6898
165.4,-918181.1101
165.6,-918183.0485
165.8,-917605.8848
166.0,-917580.2382
166.2,-917881.1387
166.4,-918287.2705
166.6,-917879.4782
166.8,-917988.4985
167.0,-917991.0179
167.2,-918019.9126
