Time (ps),ETOT
78.8,-567040.3079
79.0,-566927.5962
79.2,-566768.1718
79.4,-566397.2481
79.6,-566403.7419
79.8,-566296.9004
80.0,-566374.3838
80.2,-566437.1325
80.4,-566550.4998
80.6,-566914.9768
80.8,-566900.9502
81.0,-566711.1676
81.2,-567167.7104
81.4,-566921.9913
81.6,-566996.0825
81.8,-566890.3156
82.0,-567437.3635
82.2,-567324.7507
82.4,-567041.2338
82.6,-567280.5168
82.8,-567381.2469
83.0,-567247.311
83.2,-567456.4667
83.4,-567378.4044
83.6,-567645.425
83.8,-567383.5671
84.0,-567358.7012
84.2,-567382.6522
84.4,-566996.7587
84.6,-567322.0105
84.8,-567499.1936
85.0,-567273.3865
85.2,-567184.5581
85.4,-567157.6511
85.6,-566862.94
85.8,-566853.159
86.0,-567179.4572
86.2,-567317.1635
86.4,-567478.7961
86.6,-567771.5599
86.8,-567781.4383
87.0,-567896.35
87.2,-567336.443
87.4,-567386.944
87.6,-567420.35
87.8,-567494.4152
88.0,-567556.591
88.2,-567508.3479
88.4,-567438.9645
88.6,-567627.5074
88.8,-567491.7733
89.0,-567397.2529
89.2,-567394.4705
89.4,-567452.6411
89.6,-567064.6553
89.8,-567163.243
90.0,-567459.4391
90.2,-567157.5978
90.4,-567367.3841
90.6,-567383.489
90.8,-567402.8516
91.0,-567347.4709
91.2,-567170.5166
91.4,-566985.563
91.6,-567174.2895
91.8,-567120.0352
92.0,-567605.8771
92.2,-567256.382
92.4,-567244.0682
92.6,-567239.6466
92.8,-567252.6585
93.0,-567441.3227
93.2,-567669.4439
93.4,-567891.3832
93.6,-567686.5858
93.8,-567571.031
94.0,-567746.4254
94.2,-567637.4901
94.4,-567871.1773
94.6,-567640.9278
94.8,-567768.9567
95.0,-567726.2046
95.2,-567759.544
95.4,-568337.0452
95.6,-568404.5142
95.8,-568290.1874
96.0,-567882.806
96.2,-567762.0634
96.4,-567709.0069
96.6,-568105.583
96.8,-567905.8105
97.0,-567719.9535
97.2,-568093.0046
97.4,-568262.3694
97.6,-567819.7141
97.8,-567949.2162
98.0,-568034.9335
98.2,-568294.8158
98.4,-568512.6293
98.6,-568369.1807
98.8,-568127.7397
99.0,-568181.9044
99.2,-568385.6301
99.4,-568570.6958
99.6,-568198.7852
99.8,-568386.5365
100.0,-568184.0043
100.2,-568252.5415
100.4,-568180.6882
100.6,-568432.3356
100.8,-568264.6045
101.0,-568068.7754
101.2,-567675.0424
101.4,-567904.4464
101.6,-567875.0575
101.8,-567931.9101
102.0,-568067.0731
102.2,-568092.2942
102.4,-567916.9913
102.6,-568112.5304
102.8,-568140.0552
103.0,-567711.737
103.2,-567794.0426
103.4,-568221.8433
103.6,-568225.0703
103.8,-568510.2262
104.0,-568330.8489
104.2,-568358.3895
104.4,-568475.6574
104.6,-568192.4088
104.8,-568346.1972
105.0,-568762.2461
105.2,-568920.9126
105.4,-568746.7774
105.6,-569093.8664
105.8,-569408.1092
106.0,-569044.6115
106.2,-568983.0142
106.4,-568720.894
106.6,-568835.1359
106.8,-568796.6622
107.0,-568810.5922
107.2,-568408.3973
107.4,-568583.653
107.6,-568249.1198
107.8,-568409.1068
108.0,-567951.8983
108.2,-568294.6294
108.4,-568778.7218
108.6,-569170.9783
108.8,-569376.2934
109.0,-569353.3299
109.2,-569233.5396
109.4,-568900.7935
109.6,-568799.0045
109.8,-568570.7741
110.0,-568794.7216
110.2,-568920.3013
110.4,-568857.672
110.6,-568652.0561
110.8,-568887.4238
111.0,-568726.1923
111.2,-568744.3449
111.4,-568701.6096
111.6,-569098.8032
111.8,-568909.3568
112.0,-568894.7217
112.2,-569071.4079
112.4,-569341.8965
112.6,-569511.7887
112.8,-569166.4999
113.0,-569077.9954
113.2,-568972.4637
113.4,-568755.575
113.6,-569091.7176
