Time (ps),TEMP
99.8,300.11
100.0,299.51
100.2,299.68
100.4,300.42
100.6,301.34
100.8,300.12
101.0,299.92
101.2,301.55
101.4,300.66
101.6,302.16
101.8,301.2
102.0,300.79
102.2,300.49
102.4,301.85
102.6,300.09
102.8,301.02
103.0,301.92
103.2,300.54
103.4,299.22
103.6,298.63
103.8,299.73
104.0,301.47
104.2,300.95
104.4,300.57
104.6,300.36
104.8,300.11
105.0,299.73
105.2,299.44
105.4,299.95
105.6,299.97
105.8,298.39
106.0,299.5
106.2,298.38
106.4,300.35
106.6,298.96
106.8,299.09
107.0,299.99
107.2,301.08
107.4,300.96
107.6,300.59
107.8,301.06
108.0,303.63
108.2,300.62
108.4,299.66
108.6,299.11
108.8,299.6
109.0,299.49
109.2,298.76
109.4,300.28
109.6,299.49
109.8,301.23
110.0,300.93
110.2,299.42
110.4,301.1
110.6,299.68
110.8,300.6
111.0,300.99
111.2,299.79
111.4,300.17
111.6,300.13
111.8,300.64
112.0,301.34
112.2,299.53
112.4,299.55
112.6,299.64
112.8,300.11
113.0,299.22
113.2,300.71
113.4,300.84
113.6,300.42
113.8,299.64
114.0,299.59
114.2,299.17
114.4,301.21
114.6,299.71
114.8,300.44
115.0,299.32
115.2,298.49
115.4,298.9
115.6,299.23
115.8,298.87
116.0,300.03
116.2,300.19
116.4,299.83
116.6,299.48
116.8,300.31
117.0,299.65
117.2,300.72
117.4,300.5
117.6,299.53
117.8,299.84
118.0,300.73
118.2,300.28
118.4,299.82
118.6,298.99
118.8,299.47
119.0,300.09
119.2,299.45
119.4,300.08
119.6,300.08
119.8,301.22
120.0,299.85
120.2,299.18
120.4,300.66
120.6,299.01
120.8,300.33
121.0,299.7
121.2,300.83
121.4,300.05
121.6,300.6
121.8,299.66
122.0,299.94
122.2,299.95
122.4,300.27
122.6,301.84
122.8,298.53
123.0,300.27
123.2,301.08
123.4,299.78
123.6,300.38
123.8,300.13
124.0,300.37
124.2,298.94
124.4,300.82
124.6,300.58
124.8,301.26
125.0,300.61
125.2,301.21
125.4,299.89
125.6,300.52
125.8,300.79
126.0,300.1
126.2,299.79
126.4,300.73
126.6,300.42
126.8,299.89
127.0,300.87
127.2,300.46
127.4,300.6
127.6,300.09
127.8,299.79
128.0,299.05
128.2,299.18
128.4,298.31
128.6,298.87
128.8,300.0
129.0,299.89
129.2,300.62
129.4,300.11
129.6,301.17
129.8,301.9
130.0,298.45
130.2,300.43
130.4,300.63
130.6,302.08
130.8,299.45
131.0,300.13
131.2,301.08
131.4,302.04
131.6,299.45
131.8,298.79
132.0,299.68
132.2,300.72
132.4,301.84
132.6,301.44
132.8,300.14
133.0,302.16
133.2,299.66
133.4,301.73
133.6,301.21
133.8,298.99
134.0,300.23
134.2,299.96
134.4,299.31
134.6,298.14
134.8,300.46
135.0,301.09
135.2,299.29
135.4,301.29
135.6,298.25
135.8,299.71
136.0,300.33
136.2,299.5
136.4,300.56
136.6,299.37
136.8,300.15
137.0,298.59
137.2,300.1
137.4,300.27
137.6,299.51
137.8,301.04
138.0,301.06
138.2,301.41
138.4,300.29
138.6,300.75
138.8,299.93
139.0,301.57
139.2,299.77
139.4,300.09
139.6,298.56
139.8,300.31
140.0,300.47
140.2,300.63
140.4,299.91
140.6,298.84
140.8,298.62
141.0,299.11
141.2,298.3
141.4,298.45
141.6,300.0
141.8,299.46
142.0,299.68
142.2,299.4
142.4,299.78
142.6,300.66
142.8,299.82
143.0,301.19
143.2,301.59
143.4,300.88
143.6,302.09
143.8,300.47
144.0,300.43
144.2,301.19
144.4,300.11
144.6,299.29
144.8,301.38
145.0,299.67
145.2,300.45
145.4,299.96
145.6,300.34
145.8,300.55
146.0,300.22
146.2,300.98
146.4,300.46
146.6,299.04
146.8,299.25
147.0,299.55
147.2,299.21
147.4,300.08
147.6,300.67
147.8,300.36
148.0,299.97
148.2,302.22
148.4,300.42
148.6,299.84
148.8,301.0
149.0,299.54
149.2,299.02
149.4,300.75
149.6,300.08
149.8,299.61
150.0,300.96
150.2,299.2
150.4,298.96
150.6,300.12
150.8,301.41
151.0,299.29
151.2,300.59
151.4,299.74
151.6,299.85
151.8,301.72
152.0,301.76
152.2,301.45
152.4,300.45
152.6,301.2
152.8,300.41
153.0,300.46
153.2,300.12
153.4,299.7
153.6,301.13
153.8,301.48
154.0,300.26
154.2,300.0
154.4,300.52
154.6,299.77
