Time (ps),TEMP
10022.0,299.3
10024.0,300.86
10026.0,300.48
10028.0,300.83
10030.0,299.26
10032.0,299.14
10034.0,300.5
10036.0,299.27
10038.0,301.06
10040.0,299.43
10042.0,300.04
10044.0,300.49
10046.0,298.88
10048.0,298.3
10050.0,300.14
10052.0,298.81
10054.0,299.17
10056.0,300.64
10058.0,300.06
10060.0,299.54
10062.0,301.89
10064.0,301.99
10066.0,299.41
10068.0,300.72
10070.0,300.17
10072.0,300.13
10074.0,299.89
10076.0,300.38
10078.0,300.5
10080.0,300.45
10082.0,299.08
10084.0,298.73
10086.0,300.93
10088.0,301.16
10090.0,300.39
10092.0,300.52
10094.0,301.42
10096.0,299.56
10098.0,301.38
10100.0,299.93
10102.0,299.73
10104.0,299.13
10106.0,301.08
10108.0,299.44
10110.0,301.18
10112.0,298.31
10114.0,300.16
10116.0,299.2
10118.0,298.1
10120.0,299.15
10122.0,299.3
10124.0,300.02
10126.0,299.61
10128.0,299.75
10130.0,300.13
10132.0,301.76
10134.0,298.04
10136.0,299.11
10138.0,300.58
10140.0,299.43
10142.0,300.57
10144.0,302.17
10146.0,298.66
10148.0,300.04
10150.0,301.21
10152.0,299.69
10154.0,299.52
10156.0,298.63
10158.0,300.12
10160.0,298.73
10162.0,299.6
10164.0,299.5
10166.0,300.9
10168.0,300.11
10170.0,300.08
10172.0,299.16
10174.0,299.29
10176.0,301.65
10178.0,299.4
10180.0,300.0
10182.0,300.44
10184.0,299.62
10186.0,300.14
10188.0,299.57
10190.0,300.31
10192.0,299.61
10194.0,299.67
10196.0,300.01
10198.0,301.19
10200.0,300.25
10202.0,299.14
10204.0,298.99
10206.0,300.34
10208.0,300.44
10210.0,301.78
10212.0,300.87
10214.0,299.73
10216.0,299.44
10218.0,298.75
10220.0,299.62
10222.0,299.85
10224.0,299.23
10226.0,298.82
10228.0,300.78
10230.0,300.05
10232.0,300.82
10234.0,299.89
10236.0,302.55
10238.0,299.88
10240.0,298.27
10242.0,299.81
10244.0,298.28
10246.0,300.56
10248.0,300.79
10250.0,300.34
10252.0,299.37
10254.0,300.7
10256.0,299.6
10258.0,299.74
10260.0,299.95
10262.0,299.04
10264.0,300.25
10266.0,300.51
10268.0,298.49
10270.0,299.57
10272.0,299.67
10274.0,300.63
10276.0,299.47
10278.0,301.0
10280.0,298.14
10282.0,298.44
10284.0,300.41
10286.0,300.69
10288.0,301.36
10290.0,300.62
10292.0,299.24
10294.0,300.55
10296.0,300.3
10298.0,300.3
10300.0,299.22
10302.0,301.26
10304.0,299.73
10306.0,298.78
10308.0,298.65
10310.0,300.05
10312.0,300.57
10314.0,301.22
10316.0,300.01
10318.0,299.73
10320.0,300.07
10322.0,300.47
10324.0,299.01
10326.0,300.52
10328.0,299.84
10330.0,300.42
10332.0,300.26
10334.0,300.97
10336.0,299.82
10338.0,300.12
10340.0,300.86
10342.0,300.44
10344.0,301.47
10346.0,298.84
10348.0,300.02
10350.0,299.52
10352.0,300.62
10354.0,298.42
10356.0,299.47
10358.0,301.16
10360.0,300.04
10362.0,301.16
10364.0,300.85
10366.0,299.73
10368.0,299.89
10370.0,299.88
10372.0,299.88
10374.0,300.73
10376.0,299.41
10378.0,300.43
10380.0,299.84
10382.0,299.34
10384.0,300.74
10386.0,300.3
10388.0,300.29
10390.0,300.56
10392.0,302.07
10394.0,298.72
10396.0,299.8
10398.0,301.14
10400.0,299.75
10402.0,299.54
10404.0,299.61
10406.0,300.52
10408.0,300.66
10410.0,299.48
10412.0,299.8
10414.0,300.3
10416.0,299.67
10418.0,300.76
10420.0,300.03
10422.0,299.17
10424.0,299.85
10426.0,300.7
10428.0,300.22
10430.0,300.71
10432.0,300.08
10434.0,299.32
10436.0,300.69
10438.0,299.9
10440.0,300.98
10442.0,300.14
10444.0,300.51
10446.0,299.75
10448.0,299.66
10450.0,299.94
10452.0,300.84
10454.0,299.69
10456.0,300.65
10458.0,301.5
10460.0,300.51
10462.0,300.04
10464.0,299.79
10466.0,298.83
10468.0,299.86
10470.0,299.83
10472.0,298.64
10474.0,300.42
10476.0,300.37
10478.0,300.24
10480.0,299.97
10482.0,300.21
10484.0,299.98
10486.0,300.33
10488.0,300.03
10490.0,301.27
10492.0,300.01
10494.0,299.4
10496.0,300.11
10498.0,298.87
10500.0,298.85
10502.0,300.35
10504.0,300.31
10506.0,300.21
10508.0,300.2
10510.0,300.74
10512.0,300.76
10514.0,298.79
10516.0,298.53
10518.0,298.89
10520.0,299.84
10522.0,299.47
10524.0,299.72
10526.0,300.45
10528.0,299.81
10530.0,300.6
