Time (ps),EKTOT
84.4,90114.2985
84.6,89756.0237
84.8,90003.8228
85.0,89669.6973
85.2,90375.4041
85.4,90270.592
85.6,90381.2792
85.8,90266.3324
86.0,90032.4739
86.2,90038.7022
86.4,90246.3214
86.6,90155.5667
86.8,89833.8136
87.0,89967.3901
87.2,90109.6235
87.4,90188.659
87.6,90202.9302
87.8,90485.6271
88.0,90564.456
88.2,90258.5669
88.4,89825.4068
88.6,90266.0425
88.8,89972.394
89.0,90130.927
89.2,90422.463
89.4,90265.9687
89.6,90078.7894
89.8,89953.3727
90.0,90349.3514
90.2,90352.1101
90.4,90272.3668
90.6,90105.4159
90.8,90236.3866
91.0,90092.7106
91.2,90122.1624
91.4,90284.508
91.6,90090.6017
91.8,90213.2904
92.0,89899.975
92.2,89703.5312
92.4,90077.1096
92.6,90213.6703
92.8,90056.8559
93.0,90333.2015
93.2,90615.4293
93.4,89855.3664
93.6,90114.7194
93.8,90117.2557
94.0,89856.9689
94.2,90134.0657
94.4,89972.7075
94.6,90215.4246
94.8,90055.6207
95.0,90236.7529
95.2,90290.3886
95.4,90411.985
95.6,90510.8972
95.8,90321.9663
96.0,90606.8939
96.2,90225.3088
96.4,90017.3323
96.6,90295.6789
96.8,90040.6413
97.0,89901.5359
97.2,90048.9443
97.4,89828.2506
97.6,89675.8371
97.8,89976.2141
98.0,89795.6818
98.2,90332.404
98.4,89893.5553
98.6,89722.1874
98.8,90164.7949
99.0,89693.3752
99.2,89899.4425
99.4,89991.1539
99.6,89914.4201
99.8,90240.4764
100.0,89960.0996
100.2,90158.1998
100.4,90258.7406
100.6,90065.7713
100.8,89976.7391
101.0,90029.221
101.2,90443.977
101.4,90467.2683
101.6,90074.8706
101.8,90228.9376
102.0,90360.7651
102.2,90137.5232
102.4,90382.6431
102.6,89771.8275
102.8,90008.7936
103.0,90197.4843
103.2,90366.9591
103.4,90312.8854
103.6,90333.3865
103.8,90064.6754
104.0,90216.323
104.2,90020.3845
104.4,90089.5468
104.6,90134.3221
104.8,89868.996
105.0,89718.1623
105.2,90366.6331
105.4,90423.7539
105.6,90336.1802
105.8,89994.979
106.0,90393.298
106.2,90563.5266
106.4,90086.2434
106.6,90403.6431
106.8,90162.9001
107.0,90195.2514
107.2,90230.8689
107.4,89920.6412
107.6,89998.7949
107.8,89997.8023
108.0,90262.4888
108.2,90125.2021
108.4,89967.4612
108.6,90504.0227
108.8,90366.3602
109.0,90260.6773
109.2,90009.1038
109.4,90101.2838
109.6,89727.8541
109.8,90365.805
110.0,89831.3738
110.2,90143.6432
110.4,90107.0777
110.6,90133.1192
110.8,89758.8483
111.0,89885.0834
111.2,90127.5884
111.4,90141.6146
111.6,89991.6988
111.8,89760.3595
112.0,90031.349
112.2,89925.6234
112.4,90163.0712
112.6,89732.6677
112.8,89791.8127
113.0,90211.1971
113.2,90030.1724
113.4,89993.0909
113.6,90178.0956
113.8,90197.7373
114.0,90122.3698
114.2,90171.0199
114.4,90472.549
114.6,90361.8381
114.8,90063.8775
115.0,89967.7913
115.2,89936.9722
115.4,89878.9705
115.6,89992.3019
115.8,90044.6894
116.0,90018.8217
116.2,89940.9382
116.4,89695.644
116.6,90091.0754
116.8,90023.3943
117.0,90310.4839
117.2,90186.885
117.4,90169.5169
117.6,89913.09
117.8,90087.7088
118.0,89845.3334
118.2,90151.0672
118.4,90513.0921
118.6,89819.2262
118.8,90108.9955
119.0,90059.1872
119.2,90521.59
119.4,90185.1918
119.6,90406.846
119.8,90195.5659
120.0,90344.479
120.2,90215.1817
120.4,90309.5816
120.6,90525.7253
120.8,90094.8458
121.0,90363.7849
121.2,90836.6672
121.4,90510.879
121.6,90372.903
121.8,90166.7973
122.0,90015.0913
122.2,90193.0783
122.4,89997.8388
122.6,89960.1566
122.8,90129.7815
123.0,90149.4247
123.2,90231.1001
123.4,89628.5665
123.6,90051.5471
123.8,89909.1552
124.0,89920.8102
124.2,90108.9405
124.4,90335.5871
124.6,90050.9267
124.8,90076.3451
125.0,90033.8493
125.2,90445.3916
125.4,90374.4896
125.6,90339.3689
125.8,90194.4193
126.0,90176.6576
126.2,90312.111
126.4,90473.1351
126.6,90276.4054
126.8,90485.6107
127.0,90328.2489
127.2,90356.8107
127.4,90161.0588
127.6,90555.3111
127.8,90200.3025
128.0,90225.0277
128.2,89746.4176
128.4,89922.4185
128.6,90006.3998
128.8,90087.7799
129.0,89860.9436
129.2,89872.6501
129.4,90036.7296
129.6,90409.9703
129.8,89955.0243
130.0,90279.4715
130.2,90055.8744
130.4,90308.515
130.6,90136.7414
130.8,90055.006
131.0,89591.6882
131.2,89856.5008
131.4,90216.7815
131.6,90286.1242
131.8,90170.195
132.0,90109.3809
132.2,90279.5894
132.4,90174.6728
132.6,90301.6099
132.8,90367.5568
133.0,90314.3034
133.2,90484.4107
133.4,90385.3111
133.6,90022.3396
133.8,89974.4675
134.0,90383.1287
134.2,90160.4743
134.4,89992.9663
134.6,89902.7737
134.8,90268.2979
135.0,90409.1462
135.2,90125.1507
135.4,89819.0971
135.6,89986.5423
135.8,90382.4387
136.0,89919.68
136.2,89922.0944
136.4,90031.6362
136.6,90073.0458
136.8,89726.796
137.0,90229.649
137.2,89788.5764
137.4,89900.8616
137.6,89890.7826
137.8,90045.8812
138.0,90076.1534
138.2,89807.2215
138.4,90080.9819
138.6,90086.3353
138.8,90508.7571
139.0,90377.6407
139.2,89991.5269
139.4,90078.1869
139.6,90381.9678
139.8,89891.0535
140.0,89928.4311
140.2,89727.4654
140.4,89827.8323
140.6,90021.2375
140.8,90439.52
141.0,90430.3706
141.2,90278.9065
141.4,90321.9431
141.6,90291.4662
141.8,90237.5343
142.0,89700.3241
142.2,89803.2725
142.4,89962.7106
142.6,90021.3702
142.8,90056.3792
143.0,90178.0133
143.2,90188.1989
143.4,90020.6103
143.6,90313.8885
143.8,90479.4055
144.0,90114.4951
144.2,90031.975
144.4,90192.2946
144.6,90035.7536
144.8,90129.0808
145.0,90331.6609
145.2,90518.4652
145.4,90342.0026
145.6,90046.669
145.8,90052.4499
146.0,90128.2081
146.2,90219.5328
146.4,90345.4395
146.6,90333.1739
146.8,90449.7443
147.0,90514.869
147.2,90302.7932
147.4,90197.0535
147.6,89993.6239
147.8,90176.3698
148.0,90366.4822
148.2,90269.4621
148.4,90202.9556
148.6,89995.5899
148.8,90473.9221
149.0,90069.1875
149.2,90528.6578
149.4,90152.4455
149.6,90537.5521
149.8,90043.6483
150.0,89943.7981
150.2,90343.061
150.4,89922.9638
150.6,89794.2384
150.8,90236.1958
151.0,89610.2901
151.2,90186.2557
151.4,90229.7122
151.6,90046.3464
151.8,90070.7905
152.0,90013.9468
152.2,90042.9983
152.4,90130.1364
152.6,90301.9782
152.8,89916.2027
153.0,90205.4248
153.2,89853.6003
153.4,89845.4972
