Time (ps),EPTOT
22.0,-968410.8521
24.0,-970267.0674
26.0,-972666.3008
28.0,-973399.8783
30.0,-974894.9694
32.0,-975791.0621
34.0,-976985.3255
36.0,-977524.7721
38.0,-978513.1333
40.0,-979084.6489
42.0,-980354.8276
44.0,-981098.7244
46.0,-981653.9771
48.0,-981659.4338
50.0,-982278.3671
52.0,-983057.4554
54.0,-983442.8058
56.0,-983656.0047
58.0,-984093.45
60.0,-983946.3724
62.0,-984807.7927
64.0,-985405.2752
66.0,-984546.6327
68.0,-985579.1583
70.0,-986050.8044
72.0,-986018.248
74.0,-986512.4677
76.0,-986918.6865
78.0,-987182.4846
80.0,-987872.1691
82.0,-987444.5187
84.0,-987407.3426
86.0,-987748.3099
88.0,-988486.443
90.0,-988369.3046
92.0,-988652.2016
94.0,-988821.3083
96.0,-988594.1155
98.0,-988525.0623
100.0,-989076.4745
102.0,-989414.8571
104.0,-990019.8395
106.0,-989783.5898
108.0,-989797.3941
110.0,-989717.3537
112.0,-990400.2536
114.0,-989626.1278
116.0,-990268.3827
118.0,-990529.2714
120.0,-990580.5321
122.0,-991185.9641
124.0,-990785.6256
126.0,-991467.3166
128.0,-991140.753
130.0,-990490.0277
132.0,-991656.6921
134.0,-992237.8792
136.0,-991670.8044
138.0,-991755.115
140.0,-992124.2505
142.0,-992165.5481
144.0,-992345.7341
146.0,-992480.6154
148.0,-992754.4394
150.0,-992805.4012
152.0,-993022.883
154.0,-992827.1976
156.0,-993114.4469
158.0,-993308.2874
160.0,-992735.6728
162.0,-992727.5609
164.0,-993379.7342
166.0,-992970.1287
168.0,-993284.5553
170.0,-993695.7957
172.0,-993589.1742
174.0,-993787.8795
176.0,-993724.6244
178.0,-994128.1689
180.0,-993505.8196
182.0,-994479.3423
184.0,-993878.6017
186.0,-994330.8725
188.0,-994460.9247
190.0,-994040.2561
192.0,-994368.691
194.0,-994048.0804
196.0,-994104.4994
198.0,-993934.7257
200.0,-994556.2931
202.0,-994285.3855
204.0,-994834.3645
206.0,-994656.1088
208.0,-994070.1674
210.0,-994697.0087
212.0,-994952.178
214.0,-995075.4146
216.0,-995119.9119
218.0,-994765.6174
220.0,-995529.4718
222.0,-995005.9136
224.0,-995094.0196
226.0,-995187.7974
228.0,-995999.8914
230.0,-995158.7509
232.0,-995871.2752
234.0,-995810.1484
236.0,-996021.6304
238.0,-995865.4323
240.0,-996107.4676
242.0,-996031.7788
244.0,-996442.5392
246.0,-996057.2173
248.0,-996169.4014
250.0,-996391.6117
252.0,-996329.7571
254.0,-995915.3289
256.0,-996420.2067
258.0,-996150.4684
