Time (ps),Backbone
0.0,1.5945570962476019e-06
2.0,0.5540683433506239
4.0,0.595446446221582
6.0,0.6483185801075048
8.0,0.6561943397620577
10.0,0.6855849816958437
12.0,0.7253269855315884
14.0,0.7489339567588162
16.0,0.7903197333075568
18.0,0.8475930856897045
20.0,0.8978130718921195
22.0,0.937889210587844
24.0,0.9298978230609046
26.0,0.9332927232629877
28.0,0.9693208304020601
30.0,0.976591414432873
32.0,0.9783899175080856
34.0,0.9902865999855627
36.0,0.9812745690919925
38.0,0.9942197386563983
40.0,0.9729275940811591
42.0,1.013946253900592
44.0,1.0081434438046541
46.0,0.9753135209209323
48.0,0.9636967130242002
50.0,1.0265798940005932
52.0,0.9953030358854527
54.0,0.9992907023610552
56.0,1.009962113361114
58.0,0.9938380317209163
60.0,1.0051139628573138
62.0,1.0053682136112363
64.0,0.9971393165770778
66.0,0.9939257285780653
68.0,1.0149001779913247
70.0,1.0223502135013895
72.0,1.0273015709085342
74.0,1.0476599887606282
76.0,1.0215240508094359
78.0,1.0451597725745374
80.0,1.047411497364996
82.0,1.0502195101924527
84.0,1.0596467612071476
86.0,1.0172426592738957
88.0,1.0476575130402457
90.0,1.0476490857588348
92.0,1.0637433217085466
94.0,1.0739587265331005
96.0,1.065993507350605
98.0,1.0724742086456651
100.0,1.0683840963417983
102.0,1.0514533938567272
104.0,1.0412739933846544
106.0,1.0525639232954442
108.0,1.043943211306659
110.0,1.0271131691633104
112.0,1.0250337709850565
114.0,1.0190751475998758
116.0,1.0279169705178872
118.0,1.067381754940258
120.0,1.037802169677742
122.0,1.0791596582209801
124.0,1.0585044292615096
126.0,1.0673389200814125
128.0,1.1030928173248686
130.0,1.065078875768577
132.0,1.0998670581199927
134.0,1.0706153291114657
136.0,1.0737080707936653
138.0,1.0606893218500186
140.0,1.0932498775918145
142.0,1.0781314419089971
144.0,1.0981335445716593
146.0,1.1117697205556463
148.0,1.1096628153713088
150.0,1.1281384607808214
152.0,1.0912392820363874
154.0,1.1003825993138427
156.0,1.0905707484232194
158.0,1.1242905126449625
160.0,1.105313947331657
162.0,1.1007399202300454
164.0,1.09497503965263
166.0,1.1054613303223624
168.0,1.115075577793859
170.0,1.0907201739387877
172.0,1.0863010993412607
174.0,1.1257432485997008
176.0,1.1073818221444336
178.0,1.0747185696961425
180.0,1.094158454720274
182.0,1.131202520405588
184.0,1.121642423333655
186.0,1.097160560151779
188.0,1.1431739792105433
190.0,1.1073621136493297
192.0,1.092014464101247
194.0,1.1282255078865493
196.0,1.1145074133917805
198.0,1.1329374165727455
200.0,1.153936599475447
202.0,1.148571336840096
204.0,1.1396258127706718
206.0,1.1230530215338193
208.0,1.1527465183866834
210.0,1.145980716677084
212.0,1.1842376037231068
214.0,1.1289685937586769
216.0,1.1616539706634879
218.0,1.1375373836178533
220.0,1.1406663846938954
222.0,1.1216037016418279
224.0,1.1210692138417242
226.0,1.1569650192320282
228.0,1.1379258517598172
230.0,1.1483115896167084
232.0,1.1464518641184547
234.0,1.1291919914050441
236.0,1.1309192613076668
238.0,1.1363632119810223
240.0,1.1615001661533346
242.0,1.141691877141632
244.0,1.1033088075380288
246.0,1.1583205317545826
248.0,1.168926960314068
250.0,1.1228745116021097
252.0,1.1361412677544063
254.0,1.1377402913675938
256.0,1.1697476897260217
258.0,1.162570833241422
260.0,1.162700970922085
262.0,1.1921653484723767
264.0,1.166472460741318
266.0,1.1809176466367421
268.0,1.190151852384121
270.0,1.1654199471282605
272.0,1.1630005231241811
274.0,1.1381861100838027
276.0,1.1559049315592802
278.0,1.1296964472176956
280.0,1.1497018116899218
282.0,1.1388666599847375
284.0,1.1325463139462046
286.0,1.1377616952488452
288.0,1.1632829442508068
290.0,1.1465422128479796
292.0,1.1430417587672443
294.0,1.143069354474635
296.0,1.1728085990475445
298.0,1.169334899145244
300.0,1.1320733025325909
302.0,1.135014360754624
304.0,1.1397932736420389
306.0,1.1360670548284975
308.0,1.1966350401514825
310.0,1.1447347426714685
312.0,1.1522906523513934
314.0,1.1536430620805307
316.0,1.135717065775021
318.0,1.1779762847132256
320.0,1.1731276104277744
322.0,1.1405566994277463
324.0,1.1714430668181754
326.0,1.1537223950420268
328.0,1.141326461333152
330.0,1.165287404876898
332.0,1.1585805685750588
334.0,1.1682189810511507
336.0,1.1767383164982754
338.0,1.1821720482421336
340.0,1.1648864403813235
342.0,1.157251352913166
344.0,1.1416672063694004
346.0,1.1720497332819282
348.0,1.161868376271938
350.0,1.152374150582023
352.0,1.1799600974786142
354.0,1.1354991689380598
356.0,1.1567451810971303
358.0,1.1420576380769647
360.0,1.141923269160017
362.0,1.1466662680326727
364.0,1.1448141075999612
366.0,1.1490065501001943
368.0,1.1518393749773954
370.0,1.1198073732168807
372.0,1.1470276816418583
374.0,1.1346295323606392
376.0,1.1366873083920876
378.0,1.1369061732452244
380.0,1.1691407078444178
382.0,1.1533942545376945
384.0,1.1219471995181334
386.0,1.1600276586136677
388.0,1.138863335684767
390.0,1.1310175935793145
392.0,1.1250611656231142
394.0,1.1561029270870915
396.0,1.1491254848342405
398.0,1.1689668295929445
400.0,1.1450732655215976
402.0,1.1377007878481213
404.0,1.1615970047838535
406.0,1.1410799684655215
408.0,1.1525602391634837
410.0,1.1367532487593475
412.0,1.1547340403117115
414.0,1.1713814737299877
416.0,1.1495477802674727
418.0,1.1352107221982919
420.0,1.1334291767389977
422.0,1.141588140124755
424.0,1.127574171642242
426.0,1.1581080421326437
428.0,1.1316296328127073
430.0,1.166855584738964
432.0,1.1430435965114367
434.0,1.1580875345170674
436.0,1.1384164368357037
438.0,1.160099107972802
440.0,1.1486046022874703
442.0,1.1667511921154228
444.0,1.170271300126178
446.0,1.1755735841003985
448.0,1.1772381451623504
450.0,1.1938929128229068
452.0,1.1536335668652664
454.0,1.2087990689957784
456.0,1.1621414685934677
458.0,1.170045697184917
460.0,1.1595045368684842
462.0,1.1896537346068419
464.0,1.1785813945345738
466.0,1.2003781449284643
468.0,1.1895013311581706
470.0,1.204244028851876
472.0,1.189687534593356
474.0,1.1667305094539935
476.0,1.1697427888061702
478.0,1.1679363557978097
480.0,1.1975052973239715
482.0,1.1812394094658243
484.0,1.1778002988779863
486.0,1.1566469319060129
488.0,1.1498116023497094
490.0,1.1911673401209488
492.0,1.153022516656084
494.0,1.1652919950728766
496.0,1.1907195194521722
498.0,1.1800758980060708
500.0,1.1839023989680262
502.0,1.1885627963517456
504.0,1.1840135076200597
506.0,1.161562967177432
508.0,1.1725235258141753
510.0,1.1839125916548765
512.0,1.149819678779245
514.0,1.1724289464984228
516.0,1.1832301006511792
518.0,1.2187339842812182
520.0,1.1754576377806663
522.0,1.171475194021459
524.0,1.1638493844229663
526.0,1.1724999210988494
528.0,1.16919635350202
530.0,1.191530073193833
532.0,1.2088584957519608
534.0,1.1767896880288595
536.0,1.171958902702671
538.0,1.1598162340474238
540.0,1.187937211188699
542.0,1.2090358466038786
544.0,1.1946876198212533
546.0,1.1544955687889504
548.0,1.181966753222464
550.0,1.204182289588793
552.0,1.1613041557981543
554.0,1.1840114204694567
556.0,1.1769813089328174
558.0,1.2146214250777372
560.0,1.1920629487280336
562.0,1.2078985805750748
564.0,1.1990691195281038
566.0,1.2043013233409228
568.0,1.1779884205054145
570.0,1.1749965381114122
572.0,1.1992575217153438
574.0,1.1661093360668444
576.0,1.170867985475282
