Time (ps),TEMP
10022.0,299.86
10024.0,298.73
10026.0,300.86
10028.0,299.01
10030.0,300.48
10032.0,300.67
10034.0,300.94
10036.0,298.5
10038.0,300.33
10040.0,299.92
10042.0,299.1
10044.0,299.48
10046.0,299.48
10048.0,300.21
10050.0,298.13
10052.0,300.36
10054.0,299.11
10056.0,300.32
10058.0,300.6
10060.0,299.6
10062.0,300.8
10064.0,300.51
10066.0,300.04
10068.0,299.5
10070.0,299.91
10072.0,299.8
10074.0,299.49
10076.0,299.52
10078.0,299.56
10080.0,300.35
10082.0,300.81
10084.0,299.66
10086.0,299.57
10088.0,298.54
10090.0,300.98
10092.0,300.41
10094.0,300.39
10096.0,301.29
10098.0,300.67
10100.0,297.45
10102.0,300.77
10104.0,300.4
10106.0,300.83
10108.0,299.42
10110.0,298.99
10112.0,300.72
10114.0,296.99
10116.0,299.23
10118.0,300.64
10120.0,300.59
10122.0,300.33
10124.0,301.59
10126.0,299.86
10128.0,299.76
10130.0,300.4
10132.0,298.14
10134.0,301.16
10136.0,299.35
10138.0,301.59
10140.0,299.53
10142.0,300.2
10144.0,300.32
10146.0,301.61
10148.0,301.1
10150.0,301.4
10152.0,299.07
10154.0,299.81
10156.0,299.82
10158.0,299.0
10160.0,299.85
10162.0,301.5
10164.0,297.89
10166.0,300.54
10168.0,301.59
10170.0,300.6
10172.0,299.47
10174.0,301.88
10176.0,300.29
10178.0,299.25
10180.0,300.86
10182.0,299.15
10184.0,300.97
10186.0,299.52
10188.0,299.67
10190.0,300.13
10192.0,300.31
10194.0,302.73
10196.0,299.59
10198.0,300.48
10200.0,300.9
10202.0,300.67
10204.0,298.15
10206.0,299.53
10208.0,299.44
10210.0,299.55
10212.0,300.64
10214.0,299.32
10216.0,301.13
10218.0,301.09
10220.0,299.66
10222.0,299.68
10224.0,299.53
10226.0,300.16
10228.0,298.15
10230.0,299.84
10232.0,299.01
10234.0,299.22
10236.0,300.59
10238.0,299.97
10240.0,300.65
10242.0,300.2
10244.0,299.63
10246.0,299.93
10248.0,300.1
10250.0,301.5
10252.0,299.52
10254.0,300.86
10256.0,299.98
10258.0,300.64
10260.0,299.48
10262.0,299.62
10264.0,297.99
10266.0,299.41
10268.0,299.88
10270.0,298.64
10272.0,301.32
10274.0,298.13
10276.0,299.97
10278.0,300.66
10280.0,300.58
10282.0,300.05
10284.0,298.69
10286.0,301.63
10288.0,300.35
10290.0,299.79
10292.0,298.29
10294.0,299.4
10296.0,299.01
10298.0,300.78
10300.0,300.4
10302.0,299.98
10304.0,301.68
10306.0,300.51
10308.0,299.69
10310.0,298.69
10312.0,299.56
10314.0,298.36
10316.0,298.92
10318.0,299.29
10320.0,300.36
10322.0,299.33
10324.0,299.75
10326.0,301.21
10328.0,299.86
10330.0,301.78
10332.0,299.41
10334.0,299.23
10336.0,301.26
10338.0,298.82
10340.0,299.72
10342.0,300.33
10344.0,298.49
10346.0,300.28
10348.0,300.85
10350.0,298.96
10352.0,299.07
10354.0,300.23
10356.0,300.18
10358.0,301.42
10360.0,300.26
10362.0,302.42
10364.0,299.64
10366.0,299.79
10368.0,298.9
10370.0,299.83
10372.0,299.96
10374.0,299.73
10376.0,300.31
10378.0,299.47
10380.0,299.16
10382.0,299.46
10384.0,300.17
10386.0,300.55
10388.0,299.78
10390.0,299.69
10392.0,301.07
10394.0,301.31
10396.0,298.98
10398.0,300.38
10400.0,301.35
10402.0,299.29
10404.0,299.65
10406.0,300.24
10408.0,300.84
10410.0,299.16
10412.0,299.33
10414.0,300.88
10416.0,300.46
10418.0,301.41
10420.0,299.02
10422.0,300.43
10424.0,298.79
10426.0,300.84
10428.0,298.47
10430.0,299.66
10432.0,300.31
10434.0,300.01
10436.0,301.33
10438.0,301.05
10440.0,300.64
10442.0,299.2
10444.0,300.97
10446.0,299.46
10448.0,299.2
10450.0,299.08
10452.0,299.58
10454.0,299.48
10456.0,300.02
10458.0,299.96
10460.0,298.67
10462.0,299.67
10464.0,298.06
10466.0,300.47
10468.0,300.01
10470.0,299.43
10472.0,301.13
10474.0,301.51
10476.0,299.83
10478.0,300.23
10480.0,300.72
10482.0,299.39
10484.0,299.56
10486.0,300.04
10488.0,299.52
10490.0,299.23
10492.0,300.57
10494.0,300.16
10496.0,301.43
10498.0,300.29
10500.0,299.13
10502.0,298.52
10504.0,300.12
10506.0,298.64
10508.0,299.77
10510.0,300.69
10512.0,300.42
10514.0,299.66
10516.0,299.47
10518.0,298.89
10520.0,300.75
10522.0,300.67
10524.0,299.87
10526.0,301.1
10528.0,298.4
10530.0,299.9
10532.0,300.02
10534.0,299.68
10536.0,299.48
10538.0,299.21
10540.0,298.47
10542.0,300.92
10544.0,299.3
10546.0,300.08
10548.0,300.01
10550.0,300.58
10552.0,299.12
10554.0,301.99
10556.0,301.16
10558.0,302.65
10560.0,300.29
10562.0,298.44
10564.0,298.53
10566.0,301.01
10568.0,299.87
10570.0,300.32
10572.0,299.34
10574.0,300.17
10576.0,300.22
10578.0,301.72
