Time (ps),Radius of gyration ($\AA$)
3620.0,31.4707390748506
3640.0,31.441661844527427
3660.0,31.413215526383063
3680.0,31.407850315137647
3700.0,31.4143742991298
3720.0,31.420406368738
3740.0,31.44439740339055
3760.0,31.404936400721155
3780.0,31.419479941597757
3800.0,31.382232104172466
3820.0,31.37483373193964
3840.0,31.408987051167603
3860.0,31.416626711893404
3880.0,31.444449828959343
3900.0,31.438467257040518
3920.0,31.462466615448676
3940.0,31.414296657014134
3960.0,31.410314686991974
3980.0,31.404881027933406
4000.0,31.425140707665665
4020.0,31.426548338285563
4040.0,31.398280581510523
4060.0,31.416030498486105
4080.0,31.412140757255727
4100.0,31.4333049060546
4120.0,31.423375498890525
4140.0,31.425416864935325
4160.0,31.4173596275898
4180.0,31.405968548002978
4200.0,31.40744122413698
4220.0,31.386220123200786
4240.0,31.413282485334936
4260.0,31.37528825031591
4280.0,31.439136856850094
4300.0,31.419398290694417
4320.0,31.40332706382287
4340.0,31.42600067441912
4360.0,31.398594965602342
4380.0,31.397534414692714
4400.0,31.40754580763101
4420.0,31.401452916944386
4440.0,31.377081522411075
4460.0,31.40830229224527
4480.0,31.385591221360343
4500.0,31.431193783286957
4520.0,31.409253104593414
4540.0,31.419865706379166
4560.0,31.406139127714937
4580.0,31.39532569833268
4600.0,31.391389282521086
4620.0,31.404241477188997
4640.0,31.3983998887598
4660.0,31.388583727137547
4680.0,31.394849648082634
4700.0,31.410192711001727
4720.0,31.38454933119506
4740.0,31.415493878933606
4760.0,31.404390514306275
4780.0,31.404996932880053
4800.0,31.41761329175861
4820.0,31.396351160540263
4840.0,31.42226568990601
4860.0,31.420886402577647
4880.0,31.422694651580223
4900.0,31.421584776022076
4920.0,31.431628197870882
4940.0,31.46713953940537
4960.0,31.40529145399174
4980.0,31.422806837103373
5000.0,31.41952345500855
5020.0,31.43423566791963
5040.0,31.46525051962344
5060.0,31.445990314675957
5080.0,31.436566839906785
5100.0,31.41906835129713
5120.0,31.420323058688815
5140.0,31.42129476736278
5160.0,31.443826869959608
5180.0,31.43424916765715
5200.0,31.427623631497678
5220.0,31.44885023421556
5240.0,31.43665377983273
5260.0,31.41602410817887
5280.0,31.410633613333733
5300.0,31.399324111179595
5320.0,31.43959752935178
5340.0,31.4665668875887
5360.0,31.436658668027235
5380.0,31.42881311041987
5400.0,31.453949387329544
5420.0,31.42884355778698
5440.0,31.425058145858298
5460.0,31.424171387776354
5480.0,31.41605606816009
5500.0,31.43220755646185
5520.0,31.43385080706445
5540.0,31.428466305862266
5560.0,31.436675789119693
5580.0,31.42995683495637
5600.0,31.447979994958217
5620.0,31.40873280073494
5640.0,31.441185565559866
5660.0,31.408774490626598
5680.0,31.428069208355524
5700.0,31.460813195381196
5720.0,31.47735167164463
5740.0,31.447693844703547
5760.0,31.443187941569537
5780.0,31.43390234797838
5800.0,31.45644245955399
5820.0,31.42960885981448
5840.0,31.466133611763095
5860.0,31.438437235648017
5880.0,31.41445294165642
5900.0,31.457161879034462
5920.0,31.43154726004998
5940.0,31.435289481643483
5960.0,31.4361666524339
5980.0,31.458559051932323
6000.0,31.459944015563025
6020.0,31.467524409626595
6040.0,31.41896275244143
6060.0,31.408291237922203
6080.0,31.41031276141318
6100.0,31.455927791511588
6120.0,31.43937465895169
6140.0,31.45583776477508
6160.0,31.414628193709056
6180.0,31.437011727387812
6200.0,31.42449348722819
6220.0,31.38537962452914
6240.0,31.43283538053416
6260.0,31.442749475251393
6280.0,31.41400850769842
6300.0,31.432015155235444
6320.0,31.47100669607886
6340.0,31.428254073844496
6360.0,31.421279838567425
6380.0,31.43160641676793
6400.0,31.444938975967577
6420.0,31.43356722956508
6440.0,31.439517434556908
6460.0,31.42244137457265
